step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
1,0.1,6.192606,9.636886,0.744607,6.195317,9.639573,0.746776,0.003816,-0.1243
2,0.2,6.235172,9.679173,0.782107,6.239643,9.683548,0.781432,0.006256,0.0387
3,0.3,6.276122,9.723026,0.819607,6.281488,9.728459,0.820716,0.007636,-0.0635
4,0.4,6.3154,9.768383,0.857107,6.322946,9.776346,0.857222,0.010971,-0.0066
5,0.5,6.352949,9.815181,0.894607,6.361469,9.824371,0.894763,0.012532,-0.0089
6,0.6,6.388718,9.863353,0.932107,6.397384,9.873149,0.936127,0.013079,-0.2303
7,0.7,6.422655,9.912833,0.969607,6.431356,9.923304,0.975441,0.013614,-0.3342
8,0.8,6.454714,9.96355,1.007107,6.466067,9.979031,1.013721,0.019197,-0.379
9,0.9,6.484848,10.015434,1.044607,6.497067,10.033491,1.053304,0.021802,-0.4983
10,1.0,6.513017,10.068411,1.082107,6.526271,10.089529,1.090382,0.024933,-0.4741
11,1.1,6.539179,10.122407,1.119607,6.553116,10.146776,1.132304,0.028073,-0.7275
12,1.2,6.563298,10.177345,1.157107,6.575708,10.200584,1.173291,0.026344,-0.9272
13,1.3,6.585341,10.23315,1.194607,6.597988,10.259895,1.211463,0.029585,-0.9658
14,1.4,6.605276,10.289741,1.232107,6.619597,10.325426,1.252267,0.038451,-1.1551
15,1.5,6.623075,10.34704,1.269607,6.635957,10.382531,1.291782,0.037756,-1.2705
16,1.6,6.638714,10.404966,1.307107,6.651343,10.445405,1.330803,0.042365,-1.3577
17,1.7,6.65217,10.463438,1.344607,6.664313,10.509148,1.370053,0.047296,-1.458
18,1.8,6.663424,10.522373,1.382107,6.674584,10.573333,1.412125,0.052168,-1.7199
19,1.9,6.672461,10.581689,1.419607,6.681818,10.633876,1.451881,0.053019,-1.8492
20,2.0,6.679268,10.641301,1.457107,6.686698,10.695292,1.491495,0.0545,-1.9703
21,2.1,6.683835,10.701127,1.494607,6.689135,10.75468,1.529784,0.053815,-2.0155
