step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
1,0.1,6.192606,9.636886,0.744607,6.192606,9.636886,0.744607,0.0,0.0
2,0.2,6.235172,9.679173,0.782107,6.235172,9.679173,0.782107,0.0,0.0
3,0.3,6.276122,9.723026,0.819607,6.276122,9.723026,0.819607,0.0,0.0
4,0.4,6.3154,9.768383,0.857107,6.3154,9.768383,0.857107,0.0,0.0
5,0.5,6.352949,9.815181,0.894607,6.352949,9.815181,0.894607,0.0,0.0
6,0.6,6.388718,9.863353,0.932107,6.388718,9.863353,0.932107,0.0,0.0
7,0.7,6.422655,9.912833,0.969607,6.422655,9.912833,0.969607,0.0,0.0
8,0.8,6.454714,9.96355,1.007107,6.454714,9.96355,1.007107,0.0,0.0
9,0.9,6.484848,10.015434,1.044607,6.484848,10.015434,1.044607,0.0,0.0
10,1.0,6.513017,10.068411,1.082107,6.513017,10.068411,1.082107,0.0,0.0
11,1.1,6.539179,10.122407,1.119607,6.539179,10.122407,1.119607,0.0,0.0
12,1.2,6.563298,10.177345,1.157107,6.563298,10.177345,1.157107,0.0,0.0
13,1.3,6.585341,10.23315,1.194607,6.585341,10.23315,1.194607,0.0,0.0
14,1.4,6.605276,10.289741,1.232107,6.605276,10.289741,1.232107,0.0,0.0
15,1.5,6.623075,10.34704,1.269607,6.623075,10.34704,1.269607,0.0,0.0
16,1.6,6.638714,10.404966,1.307107,6.638714,10.404966,1.307107,0.0,0.0
17,1.7,6.65217,10.463438,1.344607,6.65217,10.463438,1.344607,0.0,0.0
18,1.8,6.663424,10.522373,1.382107,6.663424,10.522373,1.382107,0.0,0.0
19,1.9,6.672461,10.581689,1.419607,6.672461,10.581689,1.419607,0.0,0.0
20,2.0,6.679268,10.641301,1.457107,6.679268,10.641301,1.457107,0.0,0.0
21,2.1,6.683835,10.701127,1.494607,6.683835,10.701127,1.494607,0.0,0.0
22,2.2,6.686155,10.761082,1.532107,6.686155,10.761082,1.532107,0.0,0.0
23,2.3,6.686227,10.821082,1.569607,6.686227,10.821082,1.569607,0.0,0.0
24,2.4,6.684049,10.881043,1.607107,6.684049,10.881043,1.607107,0.0,0.0
25,2.5,6.679624,10.940879,1.644607,6.679624,10.940879,1.644607,0.0,0.0
26,2.6,6.672959,11.000508,1.682107,6.672959,11.000508,1.682107,0.0,0.0
27,2.7,6.664063,11.059845,1.719607,6.664063,11.059845,1.719607,0.0,0.0
28,2.8,6.652949,11.118807,1.757107,6.652949,11.118807,1.757107,0.0,0.0
29,2.9,6.639632,11.17731,1.794607,6.639632,11.17731,1.794607,0.0,0.0
30,3.0,6.624132,11.235273,1.832107,6.624132,11.235273,1.832107,0.0,0.0
31,3.1,6.606469,11.292614,1.869607,6.606469,11.292614,1.869607,0.0,0.0
32,3.2,6.586668,11.349253,1.907107,6.586668,11.349253,1.907107,0.0,0.0
33,3.3,6.564758,11.40511,1.944607,6.564758,11.40511,1.944607,0.0,0.0
34,3.4,6.540769,11.460106,1.982107,6.540769,11.460106,1.982107,0.0,0.0
35,3.5,6.514736,11.514163,2.019607,6.514736,11.514163,2.019607,0.0,0.0
